area_type,availability,bath,balcony,price,site_location,bhk,new_total_sqft,price_per_sqft
Super built-up  Area,Ready To Move,2.0,1.0,49.0,Camp,2,1151.0,4257.167680278019
Super built-up  Area,19-Dec,4.0,3.0,160.0,Camp,3,2423.0,6603.38423442014
Super built-up  Area,20-Aug,1.0,1.0,39.8,Camp,1,690.0,5768.115942028985
Super built-up  Area,Ready To Move,2.0,1.0,54.0,Camp,2,1100.0,4909.090909090909
Super built-up  Area,Ready To Move,2.0,1.0,45.0,Camp,2,1050.0,4285.714285714285
Super built-up  Area,Ready To Move,3.0,2.0,100.0,Camp,3,1605.0,6230.529595015576
Super built-up  Area,Ready To Move,3.0,2.0,125.0,Camp,3,1829.0,6834.3357025697105
Plot  Area,17-Aug,5.0,2.0,140.0,Camp,4,2400.0,5833.333333333333
Super built-up  Area,Ready To Move,2.0,2.0,50.0,Camp,2,960.0,5208.333333333333
Super built-up  Area,Ready To Move,3.0,2.0,95.0,Camp,3,1480.0,6418.918918918919
Built-up  Area,Ready To Move,3.0,3.0,79.0,Camp,3,1600.0,4937.5
Built-up  Area,Ready To Move,2.0,0.0,32.0,Camp,2,950.0,3368.4210526315787
Built-up  Area,Ready To Move,3.0,3.0,84.0,Camp,3,1434.0,5857.740585774059
Super built-up  Area,Ready To Move,2.0,1.0,54.92,Camp,2,1061.0,5176.248821866164
Built-up  Area,Ready To Move,4.0,2.0,192.0,Camp,3,2273.0,8446.986361636604
Super built-up  Area,Ready To Move,2.0,1.0,90.0,Camp,2,1303.0,6907.137375287797
Super built-up  Area,Ready To Move,4.0,2.0,160.0,Camp,3,2070.0,7729.468599033817
Built-up  Area,Ready To Move,2.0,1.0,38.0,Camp,2,1000.0,3800.0
Super built-up  Area,Ready To Move,2.0,1.0,46.75,Camp,2,1100.0,4250.0
Super built-up  Area,Ready To Move,2.0,2.0,78.0,Camp,2,1115.0,6995.5156950672645
Super built-up  Area,Ready To Move,2.0,2.0,46.0,Camp,2,1194.0,3852.5963149078725
Super built-up  Area,Ready To Move,1.0,1.0,29.5,Camp,1,800.0,3687.5
Super built-up  Area,Ready To Move,3.0,3.0,140.0,Camp,3,1855.0,7547.169811320755
Plot  Area,Ready To Move,4.0,1.0,130.0,Camp,4,2000.0,6500.0
Super built-up  Area,18-May,3.0,2.0,131.0,Camp,3,1630.0,8036.80981595092
Built-up  Area,Ready To Move,4.0,0.0,97.0,Camp,5,2400.0,4041.6666666666665
Super built-up  Area,Ready To Move,2.0,1.0,45.0,Camp,2,1107.0,4065.040650406504
Built-up  Area,Ready To Move,1.0,1.0,35.0,Camp,1,600.0,5833.333333333333
Super built-up  Area,Ready To Move,2.0,1.0,75.0,Camp,2,1340.0,5597.014925373134
Super built-up  Area,17-May,3.0,2.0,145.0,Camp,3,1881.0,7708.665603402445
Super built-up  Area,18-Jul,2.0,1.0,46.0,Camp,2,1251.0,3677.0583533173462
Super built-up  Area,19-Dec,3.0,2.0,104.0,Camp,3,2082.0,4995.1969260326605
Super built-up  Area,19-Dec,2.0,1.0,91.65,Camp,2,1300.0,7050.0
Super built-up  Area,Ready To Move,2.0,2.0,87.0,Camp,3,1460.0,5958.904109589041
Super built-up  Area,Ready To Move,2.0,1.0,70.0,Camp,2,1400.0,5000.0
Built-up  Area,Ready To Move,7.0,3.0,110.0,Camp,6,2700.0,4074.074074074074
Super built-up  Area,18-Dec,2.0,1.0,68.0,Camp,2,1007.0,6752.730883813307
Super built-up  Area,Ready To Move,3.0,2.0,85.0,Camp,3,1660.0,5120.481927710844
Super built-up  Area,18-Mar,2.0,2.0,56.0,Camp,2,1140.0,4912.2807017543855
Built-up  Area,Ready To Move,2.0,1.0,33.0,Camp,2,800.0,4125.0
Super built-up  Area,Ready To Move,2.0,2.0,47.0,Camp,2,1100.0,4272.727272727273
Plot  Area,Ready To Move,5.0,0.0,130.0,Camp,4,1600.0,8125.0
Built-up  Area,Ready To Move,1.0,0.0,35.0,Camp,1,540.0,6481.481481481482
Super built-up  Area,18-Dec,3.0,2.0,130.0,Camp,3,1920.0,6770.833333333333
Built-up  Area,Ready To Move,2.0,3.0,53.0,Camp,2,1206.0,4394.69320066335
Super built-up  Area,20-Aug,2.0,0.0,38.19,Camp,2,955.0,3998.952879581152
Super built-up  Area,Ready To Move,2.0,3.0,72.0,Camp,3,1369.0,5259.313367421476
Super built-up  Area,Ready To Move,2.0,2.0,73.5,Chandan Nagar,2,1175.0,6255.31914893617
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Chandan Nagar,3,1413.0,5307.855626326964
Super built-up  Area,Ready To Move,2.0,1.0,87.0,Chandan Nagar,2,1359.0,6401.766004415011
Super built-up  Area,Ready To Move,3.0,0.0,100.0,Chandan Nagar,3,1450.0,6896.551724137931
Super built-up  Area,Ready To Move,2.0,1.0,53.0,Chandan Nagar,2,1000.0,5300.0
Super built-up  Area,Ready To Move,3.0,2.0,150.0,Chandan Nagar,3,1709.0,8777.062609713283
Super built-up  Area,Ready To Move,3.0,1.0,109.0,Chandan Nagar,3,1683.0,6476.5300059417705
Super built-up  Area,Ready To Move,2.0,2.0,60.0,Chandan Nagar,3,1145.0,5240.174672489083
Built-up  Area,Ready To Move,2.0,1.0,62.0,Chandan Nagar,2,1113.0,5570.530098831986
Super built-up  Area,Ready To Move,1.0,0.0,38.0,Chandan Nagar,1,700.0,5428.571428571428
Super built-up  Area,21-Jan,3.0,1.0,100.0,Chandan Nagar,3,1586.0,6305.170239596469
Super built-up  Area,19-Jun,4.0,3.0,198.0,Chandan Nagar,4,2790.0,7096.774193548387
Super built-up  Area,Ready To Move,1.0,1.0,26.0,Chandan Nagar,1,650.0,4000.0
Super built-up  Area,19-Jul,2.0,1.0,89.0,Chandan Nagar,2,1296.0,6867.283950617284
Super built-up  Area,20-Dec,1.0,0.0,36.29,Chandan Nagar,1,825.0,4398.787878787879
Built-up  Area,Ready To Move,2.0,2.0,75.0,Chandan Nagar,2,1370.0,5474.4525547445255
Super built-up  Area,Ready To Move,3.0,2.0,133.0,Chandan Nagar,3,2556.0,5203.442879499217
Built-up  Area,Ready To Move,2.0,3.0,100.0,Chandan Nagar,2,1260.0,7936.507936507936
Super built-up  Area,Ready To Move,2.0,2.0,125.0,Chandan Nagar,3,1500.0,8333.333333333334
Super built-up  Area,Ready To Move,3.0,2.0,100.0,Chandan Nagar,3,1777.0,5627.462014631401
Super built-up  Area,Ready To Move,1.0,1.0,21.0,Chandan Nagar,1,460.0,4565.217391304348
Super built-up  Area,15-Nov,3.0,2.0,150.0,Chandan Nagar,3,1760.0,8522.727272727272
Plot  Area,Ready To Move,3.0,0.0,270.0,Chandan Nagar,3,3259.0,8284.749923289353
Super built-up  Area,Ready To Move,3.0,2.0,105.0,Chandan Nagar,3,1571.0,6683.64099299809
Super built-up  Area,Ready To Move,2.0,2.0,74.0,Chandan Nagar,2,1255.0,5896.414342629482
Super built-up  Area,Ready To Move,2.0,2.0,63.0,Chandan Nagar,2,1180.0,5338.983050847458
Super built-up  Area,Ready To Move,2.0,2.0,78.0,Chandan Nagar,2,1270.0,6141.7322834645665
Super built-up  Area,Ready To Move,4.0,2.0,180.0,Chandan Nagar,3,2275.0,7912.087912087912
Built-up  Area,Ready To Move,3.0,2.0,125.0,Chandan Nagar,3,1690.0,7396.449704142012
Built-up  Area,Ready To Move,2.0,2.0,79.0,Chandan Nagar,3,1550.0,5096.774193548387
Built-up  Area,Ready To Move,1.0,1.0,30.0,Chandan Nagar,1,600.0,5000.0
Built-up  Area,Ready To Move,1.0,1.0,43.0,Chandan Nagar,1,600.0,7166.666666666667
Super built-up  Area,Ready To Move,3.0,2.0,85.0,Chandan Nagar,3,1685.0,5044.510385756676
Super built-up  Area,15-Oct,3.0,2.0,111.0,Chandan Nagar,3,1760.0,6306.818181818182
Super built-up  Area,19-Mar,2.0,1.0,90.0,Chandan Nagar,2,1152.0,7812.5
Super built-up  Area,Ready To Move,2.0,1.0,65.0,Chandan Nagar,2,975.0,6666.666666666667
Super built-up  Area,Ready To Move,3.0,2.0,130.0,Chandan Nagar,3,1755.0,7407.407407407408
Super built-up  Area,Ready To Move,2.0,2.0,82.0,Chandan Nagar,2,1250.0,6560.0
Super built-up  Area,Ready To Move,3.0,2.0,115.0,Chandan Nagar,3,1950.0,5897.4358974358975
Super built-up  Area,Ready To Move,5.0,2.0,340.0,Chandan Nagar,5,3692.0,9209.100758396533
Super built-up  Area,Ready To Move,3.0,3.0,59.0,Chandan Nagar,3,1110.0,5315.315315315315
Plot  Area,Ready To Move,4.0,2.0,100.0,Chandan Nagar,4,1200.0,8333.333333333334
Super built-up  Area,Ready To Move,2.0,1.0,75.0,Chandan Nagar,2,1040.0,7211.538461538462
Super built-up  Area,Ready To Move,3.0,2.0,135.0,Chandan Nagar,3,2357.0,5727.619855748833
Built-up  Area,Ready To Move,3.0,2.0,180.0,Chandan Nagar,3,2250.0,8000.0
Super built-up  Area,18-Aug,3.0,2.0,120.0,Chandan Nagar,3,1850.0,6486.486486486487
Super built-up  Area,Ready To Move,3.0,2.0,92.13,Chandan Nagar,3,1677.0,5493.738819320215
Built-up  Area,Ready To Move,1.0,1.0,27.0,Chandan Nagar,1,550.0,4909.090909090909
Super built-up  Area,19-Jan,2.0,2.0,85.05,Chandan Nagar,3,1260.0,6750.0
Super built-up  Area,Ready To Move,3.0,2.0,100.0,Chandan Nagar,3,1600.0,6250.0
Super built-up  Area,Ready To Move,3.0,3.0,63.43,Chandan Nagar,3,1275.0,4974.901960784314
Plot  Area,Ready To Move,4.0,0.0,118.0,Chandan Nagar,3,1448.0,8149.171270718232
Super built-up  Area,18-Jul,3.0,3.0,79.0,Chandan Nagar,3,1600.0,4937.5
Built-up  Area,Ready To Move,3.0,2.0,160.0,Chandan Nagar,3,2600.0,6153.846153846154
Super built-up  Area,Ready To Move,2.0,3.0,80.0,Chandan Nagar,3,1520.0,5263.1578947368425
Super built-up  Area,Ready To Move,3.0,2.0,125.0,Chandan Nagar,3,1852.0,6749.460043196545
Super built-up  Area,20-Dec,2.0,1.0,50.17,Chandan Nagar,2,985.0,5093.401015228426
Super built-up  Area,Ready To Move,2.0,1.0,49.0,Chandan Nagar,2,883.0,5549.263873159683
Super built-up  Area,Ready To Move,2.0,1.0,57.0,Chandan Nagar,2,1095.0,5205.479452054795
Super built-up  Area,Ready To Move,2.0,1.0,51.91,Dapodi,2,1116.0,4651.433691756272
Built-up  Area,Ready To Move,2.0,2.0,43.5,Dapodi,2,1207.0,3603.976801988401
Super built-up  Area,Ready To Move,3.0,2.0,105.0,Dapodi,3,1847.0,5684.89442338928
Super built-up  Area,Ready To Move,3.0,2.0,161.0,Dapodi,3,1910.0,8429.319371727748
Super built-up  Area,Ready To Move,2.0,1.0,45.0,Dapodi,2,1035.0,4347.826086956522
Plot  Area,Ready To Move,2.0,0.0,115.0,Dapodi,2,1600.0,7187.5
Super built-up  Area,Ready To Move,3.0,2.0,83.3,Dapodi,3,1515.0,5498.349834983498
Super built-up  Area,Ready To Move,3.0,2.0,75.0,Dapodi,3,1475.0,5084.745762711865
Plot  Area,18-Sep,2.0,1.0,45.84,Dapodi,2,1200.0,3820.0
Super built-up  Area,Ready To Move,2.0,1.0,62.5,Dapodi,2,1170.0,5341.880341880342
Built-up  Area,18-May,2.0,2.0,155.0,Dapodi,3,2264.0,6846.2897526501765
Super built-up  Area,21-Jun,3.0,1.0,116.0,Dapodi,3,1739.0,6670.500287521564
Plot  Area,Ready To Move,2.0,1.0,65.0,Dapodi,2,1200.0,5416.666666666667
Built-up  Area,Ready To Move,2.0,2.0,33.0,Dapodi,2,920.0,3586.9565217391305
Plot  Area,Ready To Move,4.0,3.0,162.0,Dapodi,4,2028.0,7988.165680473373
Super built-up  Area,20-Jan,2.0,2.0,94.55,Dapodi,3,1494.0,6328.647925033467
Super built-up  Area,Ready To Move,2.0,1.0,37.8,Dapodi,2,1080.0,3499.9999999999995
Super built-up  Area,Ready To Move,2.0,3.0,55.5,Dapodi,2,1316.0,4217.325227963526
Super built-up  Area,Ready To Move,3.0,1.0,168.0,Dapodi,3,1850.0,9081.081081081082
Super built-up  Area,Ready To Move,3.0,1.0,112.0,Dapodi,3,1680.0,6666.666666666667
Super built-up  Area,Ready To Move,3.0,2.0,65.0,Dapodi,3,1250.0,5200.0
Super built-up  Area,Ready To Move,2.0,1.0,38.45,Dapodi,2,1100.0,3495.454545454546
Super built-up  Area,20-Dec,3.0,2.0,103.0,Dapodi,3,1562.0,6594.110115236876
Plot  Area,Ready To Move,3.0,2.0,200.0,Dapodi,3,3010.0,6644.518272425249
Super built-up  Area,18-Apr,3.0,2.0,108.0,Dapodi,3,1900.0,5684.210526315789
Super built-up  Area,Ready To Move,3.0,2.0,150.0,Dapodi,3,1672.0,8971.291866028709
Super built-up  Area,Ready To Move,2.0,1.0,33.0,Dapodi,2,875.0,3771.4285714285716
Super built-up  Area,22-Dec,2.0,1.0,65.12,Dapodi,2,1115.0,5840.358744394619
Super built-up  Area,Ready To Move,3.0,1.0,86.56,Dapodi,3,1445.0,5990.311418685121
Built-up  Area,Ready To Move,2.0,1.0,100.0,Dapodi,3,1500.0,6666.666666666667
Super built-up  Area,Ready To Move,3.0,1.0,95.0,Dapodi,3,1476.0,6436.314363143631
Built-up  Area,Ready To Move,3.0,1.0,180.0,Dapodi,3,2270.0,7929.515418502203
Plot  Area,18-Apr,3.0,1.0,121.0,Dapodi,3,1500.0,8066.666666666667
Super built-up  Area,Ready To Move,2.0,2.0,41.0,Dapodi,2,1350.0,3037.037037037037
Plot  Area,17-Feb,4.0,2.0,260.0,Dapodi,4,2600.0,10000.0
Built-up  Area,Ready To Move,4.0,2.0,360.0,Dapodi,3,4500.0,8000.0
Super built-up  Area,Ready To Move,2.0,1.0,60.0,Dapodi,2,1000.0,6000.0
Super built-up  Area,Ready To Move,2.0,2.0,37.97,Dapodi,2,1120.0,3390.1785714285716
Super built-up  Area,18-Aug,2.0,2.0,125.0,Dapodi,3,1520.0,8223.684210526315
Built-up  Area,Ready To Move,2.0,1.0,55.0,Dapodi,2,1100.0,5000.0
Super built-up  Area,20-Dec,1.0,1.0,35.0,Dapodi,1,670.0,5223.880597014925
Super built-up  Area,Ready To Move,2.0,1.0,49.27,Dapodi,2,1140.0,4321.929824561404
Built-up  Area,Ready To Move,2.0,1.0,59.0,Dapodi,2,1148.0,5139.3728222996515
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Dapodi,2,1322.0,5673.2223903177
Built-up  Area,Ready To Move,2.0,2.0,39.0,Dapodi,2,1126.0,3463.587921847247
Super built-up  Area,Ready To Move,3.0,3.0,78.3,Dapodi,3,1350.0,5800.0
Super built-up  Area,Ready To Move,3.0,2.0,133.0,Dapodi,3,1762.0,7548.240635641317
Built-up  Area,Ready To Move,2.0,3.0,55.0,Dapodi,2,1230.0,4471.544715447155
Super built-up  Area,Ready To Move,2.0,2.0,44.17,Dapodi,2,1306.0,3382.08269525268
Super built-up  Area,Ready To Move,2.0,1.0,82.62,Dapodi,2,1047.0,7891.117478510028
Super built-up  Area,Ready To Move,3.0,2.0,140.0,Dapodi,3,1760.0,7954.545454545455
Super built-up  Area,18-Apr,2.0,1.0,33.84,Dapodi,2,1140.0,2968.421052631579
Super built-up  Area,Ready To Move,2.0,2.0,40.0,Dapodi,2,1128.0,3546.099290780142
Super built-up  Area,Ready To Move,2.0,1.0,60.0,Dapodi,2,1000.0,6000.0
Plot  Area,Ready To Move,3.0,2.0,190.0,Dapodi,3,2500.0,7600.0
Super built-up  Area,Ready To Move,2.0,2.0,46.0,Dapodi,2,1145.0,4017.467248908297
Super built-up  Area,19-Dec,3.0,1.0,123.0,Dapodi,3,1858.0,6620.021528525296
Built-up  Area,Ready To Move,2.0,2.0,68.0,Dapodi,2,1250.0,5440.0
Super built-up  Area,Ready To Move,2.0,1.0,49.0,Dapodi,2,1020.0,4803.921568627451
Built-up  Area,Ready To Move,3.0,2.0,180.0,Dapodi,5,2500.0,7200.0
Built-up  Area,Ready To Move,3.0,1.0,110.0,Dapodi,3,1650.0,6666.666666666667
Super built-up  Area,Ready To Move,3.0,2.0,140.0,Dapodi,4,2062.0,6789.524733268671
Super built-up  Area,Ready To Move,2.0,1.0,35.0,Dapodi,1,600.0,5833.333333333333
Super built-up  Area,Ready To Move,4.0,2.0,95.0,Dapodi,3,1820.0,5219.780219780219
Super built-up  Area,Ready To Move,2.0,2.0,48.45,Dapodi,2,1020.0,4750.0
Super built-up  Area,Ready To Move,3.0,0.0,105.0,Dapodi,3,1476.0,7113.821138211382
Super built-up  Area,Ready To Move,2.0,2.0,60.0,Dapodi,2,1080.0,5555.555555555556
Super built-up  Area,18-Oct,2.0,1.0,47.39,Dapodi,2,1247.0,3800.3207698476344
Super built-up  Area,Ready To Move,2.0,2.0,52.08,Dapodi,2,1050.0,4960.0
Super built-up  Area,Ready To Move,4.0,3.0,200.0,Dapodi,4,2996.0,6675.567423230975
Built-up  Area,Ready To Move,2.0,3.0,69.0,Dapodi,2,1275.0,5411.764705882353
Super built-up  Area,Ready To Move,2.0,1.0,50.0,Dapodi,2,1000.0,5000.0
Super built-up  Area,Ready To Move,2.0,1.0,67.0,Dapodi,2,1300.0,5153.846153846154
Built-up  Area,Ready To Move,2.0,0.0,44.0,Dapodi,2,1006.0,4373.75745526839
Super built-up  Area,18-Jul,3.0,2.0,109.0,Dapodi,3,1890.0,5767.195767195767
Super built-up  Area,19-Mar,2.0,1.0,67.38,Dapodi,2,1346.0,5005.94353640416
Super built-up  Area,Ready To Move,2.0,3.0,83.0,Dapodi,2,1200.0,6916.666666666667
Super built-up  Area,Ready To Move,2.0,1.0,66.0,Dapodi,2,933.0,7073.954983922829
Super built-up  Area,Ready To Move,2.0,2.0,76.18,Dapodi,3,1383.0,5508.315256688359
Built-up  Area,Ready To Move,2.0,1.0,55.0,Dapodi,2,1060.0,5188.679245283019
Super built-up  Area,Ready To Move,2.0,2.0,85.0,Dapodi,2,1250.0,6800.0
Built-up  Area,Ready To Move,2.0,0.0,52.0,Dapodi,2,1000.0,5200.0
Super built-up  Area,Ready To Move,2.0,2.0,135.0,Dapodi,3,1590.0,8490.566037735849
Super built-up  Area,Ready To Move,2.0,2.0,67.0,Dapodi,2,1310.0,5114.503816793893
Built-up  Area,18-Aug,2.0,1.0,32.64,Dapodi,2,1130.0,2888.495575221239
Super built-up  Area,19-Jul,2.0,1.0,90.0,Dapodi,2,1454.0,6189.821182943604
Built-up  Area,Ready To Move,3.0,1.0,65.0,Dapodi,2,1300.0,5000.0
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Dapodi,3,1082.0,5083.179297597043
Plot  Area,18-Nov,2.0,1.0,36.0,Dapodi,2,1200.0,3000.0
Super built-up  Area,Ready To Move,2.0,2.0,55.0,Dapodi,2,1150.0,4782.608695652174
Built-up  Area,Ready To Move,6.0,1.0,110.0,Dapodi,7,2800.0,3928.5714285714284
Super built-up  Area,20-Sep,2.0,0.0,59.135,Dapodi,2,1258.5,4698.847834723878
Super built-up  Area,Ready To Move,2.0,3.0,45.0,Deccan Gymkhana,2,1100.0,4090.909090909091
Super built-up  Area,Ready To Move,4.0,1.0,230.0,Deccan Gymkhana,4,3252.0,7072.570725707257
Built-up  Area,Ready To Move,2.0,1.0,32.0,Deccan Gymkhana,2,950.0,3368.4210526315787
Super built-up  Area,18-Jul,1.0,1.0,18.5,Deccan Gymkhana,1,416.0,4447.115384615385
Super built-up  Area,Ready To Move,2.0,2.0,95.0,Deccan Gymkhana,2,1278.0,7433.489827856025
Super built-up  Area,Ready To Move,2.0,2.0,43.2,Deccan Gymkhana,2,1200.0,3600.0
Super built-up  Area,19-Apr,2.0,1.0,45.47,Deccan Gymkhana,2,980.0,4639.7959183673465
Super built-up  Area,18-Oct,2.0,1.0,87.0,Deccan Gymkhana,3,1482.0,5870.4453441295545
Super built-up  Area,Ready To Move,2.0,3.0,42.0,Deccan Gymkhana,2,1150.0,3652.1739130434785
Super built-up  Area,Ready To Move,2.0,2.0,62.0,Deccan Gymkhana,2,1139.0,5443.371378402107
Super built-up  Area,19-Mar,2.0,1.0,97.52,Deccan Gymkhana,2,1430.0,6819.580419580419
Super built-up  Area,Ready To Move,2.0,2.0,45.0,Deccan Gymkhana,2,950.0,4736.8421052631575
Built-up  Area,Ready To Move,2.0,1.0,67.5,Deccan Gymkhana,2,1350.0,5000.0
Super built-up  Area,Ready To Move,2.0,3.0,52.0,Deccan Gymkhana,2,1187.0,4380.791912384162
Super built-up  Area,Ready To Move,4.0,2.0,157.0,Deccan Gymkhana,3,2257.0,6956.136464333185
Built-up  Area,Ready To Move,5.0,2.0,395.0,Deccan Gymkhana,4,5000.0,7900.0
Super built-up  Area,Ready To Move,2.0,2.0,36.0,Deccan Gymkhana,2,977.0,3684.74923234391
Built-up  Area,18-Jul,2.0,2.0,50.0,Deccan Gymkhana,2,1199.0,4170.141784820684
Super built-up  Area,Ready To Move,2.0,2.0,55.9,Deccan Gymkhana,2,1285.0,4350.194552529183
Super built-up  Area,Ready To Move,2.0,2.0,48.0,Deccan Gymkhana,2,1231.0,3899.268887083672
Super built-up  Area,Ready To Move,4.0,2.0,139.0,Deccan Gymkhana,3,2072.0,6708.494208494209
Super built-up  Area,Ready To Move,1.0,2.0,65.0,Deccan Gymkhana,1,794.0,8186.39798488665
Super built-up  Area,Ready To Move,2.0,2.0,135.0,Deccan Gymkhana,3,1590.0,8490.566037735849
Super built-up  Area,Ready To Move,2.0,1.0,60.0,Deccan Gymkhana,2,1159.0,5176.8766177739435
Super built-up  Area,18-Feb,2.0,2.0,72.0,Deccan Gymkhana,2,1296.0,5555.555555555556
Super built-up  Area,Ready To Move,2.0,1.0,85.0,Deccan Gymkhana,2,1185.0,7172.995780590717
Built-up  Area,Ready To Move,2.0,0.0,59.0,Deccan Gymkhana,2,650.0,9076.923076923076
Super built-up  Area,Ready To Move,2.0,2.0,78.0,Deccan Gymkhana,2,1418.0,5500.705218617772
Super built-up  Area,Ready To Move,2.0,1.0,60.0,Deccan Gymkhana,2,950.0,6315.789473684211
Plot  Area,Ready To Move,2.0,0.0,60.0,Deccan Gymkhana,2,1000.0,6000.0
Super built-up  Area,Ready To Move,2.0,1.0,47.0,Deccan Gymkhana,2,950.0,4947.368421052632
Super built-up  Area,19-Dec,2.0,1.0,98.0,Deccan Gymkhana,2,1483.0,6608.226567768038
Built-up  Area,Ready To Move,2.0,1.0,60.0,Deccan Gymkhana,2,830.0,7228.915662650603
Super built-up  Area,20-Dec,2.0,2.0,46.0,Deccan Gymkhana,2,1070.0,4299.065420560748
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Deccan Gymkhana,3,1200.0,6250.0
Built-up  Area,Ready To Move,2.0,1.0,65.0,Deccan Gymkhana,2,1050.0,6190.476190476191
Super built-up  Area,Ready To Move,2.0,1.0,55.55,Deccan Gymkhana,2,1250.0,4444.0
Plot  Area,Ready To Move,3.0,0.0,99.0,Deccan Gymkhana,3,1365.0,7252.747252747253
Super built-up  Area,Ready To Move,2.0,2.0,65.0,Deccan Gymkhana,2,1200.0,5416.666666666667
Plot  Area,Ready To Move,3.0,2.0,92.0,Deccan Gymkhana,3,1400.0,6571.428571428572
Super built-up  Area,18-May,2.0,1.0,37.2,Deccan Gymkhana,2,920.0,4043.478260869566
Plot  Area,Ready To Move,4.0,1.0,95.0,Deccan Gymkhana,4,1200.0,7916.666666666667
Plot  Area,Ready To Move,2.0,0.0,75.0,Deccan Gymkhana,2,1200.0,6250.0
Super built-up  Area,18-May,2.0,3.0,43.94,Deccan Gymkhana,2,1240.0,3543.548387096774
Super built-up  Area,Ready To Move,2.0,2.0,65.0,Deccan Gymkhana,2,1492.0,4356.56836461126
Super built-up  Area,Ready To Move,2.0,2.0,90.0,Deccan Gymkhana,2,1105.0,8144.796380090498
Plot  Area,Ready To Move,2.0,1.0,160.0,Deccan Gymkhana,2,2000.0,8000.0
Built-up  Area,Ready To Move,2.0,2.0,76.0,Deccan Gymkhana,3,1260.0,6031.746031746032
Built-up  Area,Ready To Move,3.0,0.0,350.0,Deccan Gymkhana,3,5720.0,6118.881118881119
Super built-up  Area,18-Dec,2.0,1.0,75.0,Deccan Gymkhana,2,1216.0,6167.763157894737
Plot  Area,Ready To Move,3.0,1.0,180.0,Deccan Gymkhana,3,2400.0,7500.0
Super built-up  Area,Ready To Move,1.0,1.0,32.0,Deccan Gymkhana,2,800.0,4000.0
Built-up  Area,18-Apr,2.0,0.0,111.0,Deccan Gymkhana,2,1304.0,8512.269938650306
Built-up  Area,Ready To Move,2.0,1.0,70.0,Deccan Gymkhana,2,1205.0,5809.128630705394
Super built-up  Area,18-Jul,2.0,2.0,82.0,Deccan Gymkhana,3,1225.0,6693.877551020408
Plot  Area,18-Dec,4.0,3.0,255.0,Deccan Gymkhana,4,3565.0,7152.875175315568
Super built-up  Area,Ready To Move,2.0,1.0,95.0,Deccan Gymkhana,3,1260.0,7539.68253968254
Super built-up  Area,Ready To Move,2.0,2.0,52.07,Deccan Gymkhana,2,1050.0,4959.047619047619
Super built-up  Area,18-Dec,3.0,1.0,139.0,Deccan Gymkhana,3,1865.0,7453.083109919571
Super built-up  Area,Ready To Move,2.0,2.0,65.0,Deccan Gymkhana,2,1056.0,6155.30303030303
Super built-up  Area,Ready To Move,2.0,1.0,55.0,Deccan Gymkhana,2,1150.0,4782.608695652174
Super built-up  Area,Ready To Move,2.0,2.0,35.0,Deccan Gymkhana,2,950.0,3684.2105263157896
Super built-up  Area,Ready To Move,2.0,1.0,77.47,Deccan Gymkhana,2,1050.0,7378.0952380952385
Built-up  Area,Ready To Move,4.0,2.0,200.0,Deccan Gymkhana,4,3400.0,5882.35294117647
Built-up  Area,Ready To Move,1.0,0.0,40.0,Deccan Gymkhana,1,650.0,6153.846153846154
Super built-up  Area,18-May,2.0,1.0,73.0,Deccan Gymkhana,2,1216.0,6003.289473684211
Super built-up  Area,Ready To Move,2.0,1.0,65.0,Deccan Gymkhana,2,1202.0,5407.65391014975
Plot  Area,Ready To Move,5.0,3.0,265.0,Deccan Gymkhana,4,3940.0,6725.888324873096
Super built-up  Area,Ready To Move,2.0,1.0,71.0,Deccan Gymkhana,2,1098.0,6466.302367941712
Super built-up  Area,Ready To Move,2.0,1.0,39.0,Deccan Gymkhana,2,1081.0,3607.7705827937093
Super built-up  Area,Ready To Move,2.0,1.0,57.0,Deccan Gymkhana,2,980.0,5816.326530612245
Super built-up  Area,Ready To Move,2.0,2.0,50.0,Deccan Gymkhana,2,1272.0,3930.817610062893
Super built-up  Area,Ready To Move,2.0,1.0,54.0,Deccan Gymkhana,2,1200.0,4500.0
Plot  Area,Ready To Move,2.0,0.0,90.0,Deccan Gymkhana,3,1200.0,7500.0
Super built-up  Area,Ready To Move,2.0,1.0,50.0,Deccan Gymkhana,2,976.0,5122.950819672131
Built-up  Area,Ready To Move,2.0,1.0,77.13,Deccan Gymkhana,3,1250.0,6170.4
Super built-up  Area,Ready To Move,2.0,2.0,39.0,Deccan Gymkhana,2,1220.0,3196.72131147541
Super built-up  Area,Ready To Move,2.0,1.0,46.0,Deccan Gymkhana,2,1150.0,4000.0
Built-up  Area,18-Apr,2.0,2.0,70.0,Deccan Gymkhana,2,1216.0,5756.578947368421
Super built-up  Area,Ready To Move,2.0,1.0,52.0,Deccan Gymkhana,2,1010.0,5148.514851485149
Super built-up  Area,Ready To Move,5.0,1.0,335.0,Deccan Gymkhana,4,3633.0,9221.029452243325
Super built-up  Area,Ready To Move,2.0,3.0,48.76,Deccan Gymkhana,2,1116.0,4369.1756272401435
Super built-up  Area,Ready To Move,2.0,2.0,47.0,Deccan Gymkhana,2,1150.0,4086.9565217391305
